Modele,Annee,Km,Puissance r√©elle (ch),Prix (TTC),Marque Benne
Daily,2008,170000,120,19000,NA
Daily,2011,150000,130,16000,NA
Daily,2012,100000,130,22000,NA
Daily,2013,120000,130,17000,NA
Boxer,2016,50000,130,22000,NA
Daily,2013,190000,130,14000,JPM
Master,2018,10000,130,29000,NA
Master,2016,130000,135,19000,NA
Master,2015,100000,165,24000,NA
Master,2006,140000,130,8000,NA
Master,2000,230000,130,6000,NA
Daily,2008,180000,100,14000,NA
Jumper,2007,120000,120,12000,NA
Daily,2003,220000,120,8000,NA
Daily,2017,30000,140,29000,JPM
Maxity,2015,110000,140,15000,NA
Daily,2007,190000,150,15000,NA
Master,2015,100000,135,17000,NA
Boxer,2019,40000,130,27000,NA
Transit,2012,100000,155,20000,NA
Sprinter,2011,130000,130,19000,NA
Daily,2001,210000,85,6000,NA
Daily,2013,190000,130,13000,JPM
Master,2012,190000,125,15000,NA
Master,2017,100000,130,20000,NA
Transit,2008,210000,130,8000,NA
Cabstar,2008,150000,130,9000,NA
Transit,2007,70000,115,9000,NA
Transit,1998,180000,130,6000,NA
Master,2016,130000,135,19000,NA
Daily,2015,60000,110,22000,NA
Jumper,2017,10000,130,22000,NA
Transit,2010,110000,115,16000,NA
Transit,2018,40000,170,25000,NA
Maxity,2014,60000,130,22000,NA
Sprinter,2018,70000,140,25000,NA
Daily,2018,40000,140,27000,NA
Daily,2012,90000,150,21000,NA
Master,2011,200000,150,12000,NA
Boxer,2011,60000,100,10000,NA
Ducato,2017,70000,130,20000,JPM
Daily,2012,170000,130,13000,NA
Daily,2020,0,160,39000,JPM
Daily,2015,80000,150,26000,NA
Daily,2014,180000,130,18000,NA
Jumper,2013,150000,130,9000,NA
Canter,2007,170000,110,8000,NA
Transit,2012,130000,100,14000,NA
Boxer,2020,10000,130,22000,NA
Daily,2006,250000,120,9000,NA
Ducato,2016,100000,130,7000,NA
Jumper,2012,90000,130,7000,NA
Daily,2008,190000,146,10000,NA
Master,2006,150000,120,8000,NA
Master,2014,100000,165,21000,NA
Cabstar,2007,200000,110,12000,NA
Daily,2007,90000,120,13000,NA
Jumper,2014,60000,120,19000,NA
Daily,2015,100000,130,22000,NA
Master,2015,40000,125,21000,NA
Cabstar,2005,180000,130,7000,NA
Master,2004,10000,100,9000,NA
Daily,2009,120000,150,12000,NA
Master,2012,150000,145,15000,NA
Daily,2009,180000,150,11000,NA
Daily,2018,50000,140,31000,JPM
Ducato,2021,0,160,31000,JPM
Daily,2007,270000,150,9000,NA
Daily,2018,40000,136,31000,NA
Daily,2005,110000,120,11000,NA
Sprinter,2021,0,190,46000,NA
Master,2018,20000,130,24000,NA
Daily,2005,270000,120,7000,NA
Transit,2016,100000,125,20000,NA
Sprinter,2000,90000,100,10000,NA
Daily,2011,170000,146,15000,NA
Transit,2016,90000,92,21000,NA
Daily,2004,240000,120,7000,NA
Cabstar,2008,200000,110,12000,NA
Daily,2009,150000,150,12000,NA
Daily,2018,40000,140,30000,JPM
Transit,2010,130000,125,14000,NA
Cabstar,2004,190000,125,5000,NA
Ducato,2021,0,160,30000,NA
Sprinter,2007,140000,130,15000,NA
Master,2016,100000,130,24000,NA
Transit,2007,90000,140,14000,NA
Transit,2011,150000,125,10000,NA
Daily,2007,170000,180,13000,NA
Sprinter,2007,220000,109,10000,Legras
Sprinter,2018,50000,105,30000,NA
Transit,2016,100000,155,16000,NA
Crafter,2012,180000,110,11000,NA
Sprinter,2005,340000,130,7000,NA
Master,2017,40000,135,22000,Gruau
Daily,2007,200000,120,10000,JPM
Cabstar,2007,180000,110,7000,NA
Daily,2016,90000,130,24000,NA
Daily,2011,140000,110,12000,NA
Daily,2012,120000,110,12000,NA
Ducato,2016,90000,150,18000,NA
Daily,2017,80000,146,25000,JPM
Transit,2018,20000,170,27000,NA
Daily,2008,120000,100,12000,NA
Master,2017,100000,145,18000,NA
Cabstar,2005,160000,125,8000,NA
Cabstar,2001,200000,110,7000,NA
Transit,2011,140000,85,11000,NA
Ducato,2016,60000,130,20000,NA
Canter,2006,100000,130,13000,NA
Daily,2003,220000,130,6000,NA
Daily,2006,180000,120,6000,NA
Transit,2017,40000,170,24000,NA
Daily,2013,130000,107,16000,NA
Master,2009,240000,130,9000,NA
Daily,2018,20000,140,31000,NA
Transit,2017,10000,130,20000,NA
Cabstar,2014,80000,140,19000,NA
Daily,2018,60000,136,30000,JPM
Daily,2018,40000,140,30000,JPM
Daily,2018,20000,140,32000,JPM
Ducato,2017,60000,130,22000,NA
Transit,2013,150000,125,15000,Jocquin
Daily,2009,230000,150,14000,NA
Sprinter,2013,80000,190,22000,NA
Cabstar,2007,270000,150,6000,NA
Jumper,2017,50000,130,20000,NA
Crafter,2015,100000,136,24000,NA
Daily,2014,120000,130,15000,NA
Boxer,2016,70000,131,18000,NA
Sprinter,2004,130000,109,11000,NA
Daily,2004,230000,120,6000,NA
Daily,2012,110000,106,13000,NA
Daily,2018,30000,140,29000,JPM
Daily,2001,180000,90,5000,NA
Master,2012,120000,125,17000,NA
Cabstar,2012,130000,110,14000,NA
Daily,2007,160000,120,12000,NA
Sprinter,2013,100000,163,22000,NA
Jumper,2017,40000,130,17000,NA
Boxer,2018,20000,130,23000,Gruau
Daily,2002,220000,110,6000,NA
Daily,2010,180000,130,17000,NA
Daily,2007,190000,100,13000,NA
Master,2013,150000,101,17000,NA
Master,2004,270000,120,5000,NA
Daily,2017,60000,150,32000,NA
Master,2017,80000,145,26000,NA
Jumper,2013,110000,131,15000,NA
Boxer,2017,20000,131,22000,NA
Daily,2018,30000,140,30000,NA
Boxer,2016,50000,130,19000,NA
Daily,2015,70000,150,28000,NA
Daily,2016,100000,130,17000,NA
Master,2016,40000,125,24000,NA
Daily,2005,190000,120,7000,NA
Daily,2006,250000,116,7000,NA
Transit,2008,130000,115,10000,NA
Daily,2012,160000,130,17000,NA
Daily,2017,40000,150,28000,JPM
Daily,2007,210000,116,15000,NA
Daily,2015,80000,130,25000,Cabreta
Daily,2016,60000,126,27000,JPM
Daily,2012,290000,170,8000,NA
Sprinter,2006,210000,109,11000,NA
Cabstar,2008,190000,130,6000,NA
Daily,2006,170000,120,18000,NA
Sprinter,2014,100000,130,25000,NA
Transit,2006,50000,130,9000,NA
Sprinter,2016,80000,130,29000,Cabreta
Transit,2009,140000,100,7000,NA
Daily,2019,10000,180,42000,NA
Canter,2018,50000,130,12000,NA
Sprinter,2020,0,140,38000,NA
Master,2020,0,145,35000,JPM
Jumper,2018,40000,96,19000,NA
Transit,2018,20000,125,31000,NA
Daily,2002,140000,110,9000,NA
Daily,2004,300000,120,6000,NA
Ducato,2017,50000,130,20000,JPM
Sprinter,2019,20000,140,39000,NA
Master,2015,60000,135,19000,NA
Jumper,2006,190000,120,9000,NA
Boxer,2010,250000,120,8000,NA
Ducato,2017,40000,130,23000,JPM
Master,2015,130000,165,22000,NA
Daily,2016,70000,130,26000,JPM
Ducato,2021,0,140,29000,NA
Daily,2015,90000,106,20000,NA
Daily,2014,170000,146,14000,NA
Transit,2013,160000,125,8000,NA
Daily,2016,50000,107,33000,NA
Jumper,2012,120000,130,14000,NA
Daily,2016,90000,126,26000,JPM
Transit,2008,210000,130,7000,NA
Sprinter,2018,70000,140,25000,NA
Daily,2018,60000,140,32000,JPM
Daily,2010,80000,130,17000,NA
Daily,2016,50000,107,30000,NA
Daily,2013,140000,106,16000,NA
Sprinter,1999,270000,113,8000,NA
Daily,2014,90000,130,23000,NA
Master,2016,130000,165,16000,NA
Daily,2010,280000,130,9000,NA
Master,2015,80000,125,17000,NA
Boxer,2016,70000,131,15000,NA
Daily,2009,130000,150,14000,NA
Transit,2017,70000,170,21000,NA
Ducato,2017,40000,130,21000,NA
Daily,2016,90000,130,23000,NA
Cabstar,2007,200000,110,11000,NA
Master,2004,270000,120,4000,NA
Sprinter,2006,210000,109,11000,NA
Transit,2016,100000,155,16000,NA
Daily,2006,180000,120,6000,NA
Daily,2011,180000,210,17000,JPM
Cabstar,2008,200000,110,11000,NA
Maxity,2012,180000,140,13000,NA
Ducato,2018,40000,130,20000,JPM
Daily,2020,0,160,42000,JPM
Daily,2020,0,160,42000,JPM
Sprinter,2015,90000,130,22000,NA
Master,2020,0,165,39000,NA
Daily,2012,170000,150,15000,NA
Canter,2008,60000,125,17000,NA
Daily,2010,250000,146,9000,NA
Boxer,2005,110000,130,16000,NA
Daily,2016,170000,130,20000,NA
Daily,2018,40000,140,28000,JPM
Ducato,2017,30000,130,24000,NA
Daily,2013,210000,150,15000,NA
Sprinter,2008,220000,150,12000,NA
Daily,2017,50000,150,29000,NA
Daily,2017,80000,150,26000,Calvet
Daily,2008,230000,120,12000,NA
Cabstar,2013,130000,122,15000,NA
Ducato,2020,0,140,28000,JPM
Transit,2017,70000,170,20000,NA
Jumper,2002,80000,130,7000,NA
Ducato,2013,210000,130,8000,NA
Sprinter,2015,190000,130,18000,NA
Maxity,2008,120000,130,11000,NA
Master,2015,110000,136,20000,NA
Master,2012,200000,125,13000,NA
Daily,2008,180000,83,11000,NA
Daily,2005,190000,110,10000,NA
Daily,2013,110000,110,15000,NA
Daily,2019,40000,140,27000,JPM
Master,2013,60000,130,19000,NA
Ducato,2016,80000,130,18000,NA
Daily,2009,80000,150,18000,NA
Cabstar,2015,90000,120,24000,NA
Daily,2017,70000,140,31000,JPM
Canter,2010,170000,130,10000,NA
Sprinter,2015,90000,130,20000,JPM
Daily,2008,160000,120,12000,NA
Daily,2020,10000,180,34000,NA
Daily,2007,210000,120,12000,NA
Master,2014,80000,165,22000,NA
Daily,2008,220000,150,12000,NA
Master,2001,160000,90,8000,NA
Master,2016,100000,125,15000,Gruau
Daily,2018,50000,140,28000,NA
Master,2018,40000,130,24000,NA
Sprinter,2017,30000,140,32000,Cabreta
Boxer,2017,40000,150,18000,NA
Master,2020,10000,165,32000,NA
Daily,2003,280000,120,7000,NA
Transit,2017,60000,170,24000,NA
Daily,2017,110000,150,26000,NA
Boxer,2012,220000,110,10000,NA
Daily,2018,50000,140,30000,NA
Daily,2014,100000,150,15000,NA
Daily,1999,280000,110,4000,NA
Master,2014,200000,125,14000,NA
Daily,2010,210000,120,13000,NA
Daily,2018,30000,140,26000,JPM
Ducato,2020,0,140,31000,JPM
Master,2015,90000,165,25000,NA
Master,2015,130000,165,21000,NA
Master,2018,60000,145,29000,NA
Master,2011,170000,150,14000,NA
Cabstar,2016,70000,122,18000,NA
Daily,2015,140000,130,22000,NA
Daily,2012,230000,130,12000,NA
Jumper,2017,10000,130,22000,NA
Daily,2014,100000,130,23000,JPM
Master,2015,20000,130,20000,NA
Daily,2016,80000,130,26000,JPM
Transit,2018,50000,170,20000,NA
Master,2021,0,145,32000,NA
Cabstar,2012,60000,136,18000,NA
Boxer,2016,120000,130,15000,Gruau
Crafter,2016,90000,163,24000,NA
Daily,2018,40000,140,31000,NA
Master,2016,50000,135,29000,NA
Cabstar,2013,100000,140,17000,NA
Sprinter,2017,70000,140,29000,NA
Sprinter,2012,160000,115,14000,NA
Cabstar,2010,120000,130,17000,NA
Transit,2016,70000,125,22000,NA
Ducato,2018,30000,130,22000,NA
Canter,2020,0,130,32000,JPM
Master,2013,80000,150,20000,NA
Master,2003,100000,110,4000,NA
Sprinter,2012,150000,130,13000,NA
Master,2015,160000,165,16000,NA
Daily,2017,60000,120,20000,NA
Sprinter,2012,240000,160,18000,NA
Daily,2004,200000,120,9000,NA
Cabstar,2010,160000,130,11000,NA
Jumper,2017,30000,130,21000,NA
Sprinter,2016,80000,140,25000,JPM
Daily,2010,150000,140,14000,NA
Boxer,2016,40000,130,28000,NA
Daily,2013,160000,210,20000,NA
Maxity,2012,180000,140,13000,NA
Ducato,2017,60000,130,24000,NA
Crafter,2016,90000,163,22000,NA
Master,2012,190000,125,13000,NA
Master,2008,70000,100,12000,NA
Daily,2007,170000,116,16000,NA
Jumper,2011,100000,120,15000,NA
Daily,2016,60000,150,22000,NA
Transit,2011,110000,115,14000,Gruau
Boxer,2008,140000,120,12000,NA
Ducato,2020,30000,140,20000,NA
Daily,2019,40000,140,32000,NA
Daily,2018,30000,140,25000,NA
Daily,2013,160000,126,19000,NA
Transit,2007,130000,130,8000,NA
Daily,2006,180000,120,6000,NA
Daily,2018,50000,140,29000,JPM
Maxity,2008,120000,130,10000,NA
Sprinter,2012,240000,160,14000,NA
Transit,2017,60000,130,22000,NA
Daily,2015,110000,150,21000,NA
Ducato,2017,100000,130,19000,NA
Master,2016,100000,130,22000,NA
Daily,2007,160000,100,16000,NA
Daily,2007,230000,120,14000,NA
Master,2017,50000,130,22000,NA
Cabstar,2008,200000,110,11000,NA
Maxity,2011,80000,110,10000,NA
Transit,2018,30000,170,27000,NA
Jumper,2015,170000,130,14000,NA
Maxity,2012,180000,140,13000,NA
Daily,2018,40000,140,28000,NA
Canter,2019,10000,130,26000,NA
Master,2011,170000,125,15000,NA
Master,2018,10000,130,26000,NA
Daily,2004,240000,125,11000,NA
Ducato,2017,60000,150,15000,NA
Daily,2018,50000,140,32000,JPM
Daily,2018,50000,140,32000,JPM
Daily,2014,110000,130,23000,JPM
Daily,2018,40000,140,32000,JPM
Daily,2013,160000,150,20000,JPM
Daily,2016,80000,160,29000,JPM
Daily,2018,40000,140,32000,JPM
Daily,2013,110000,130,23000,NA
Sprinter,2014,160000,130,20000,NA
Ducato,2020,0,140,30000,NA
Daily,2017,60000,140,28000,JPM
Ducato,2018,60000,130,21000,JPM
Transit,2018,40000,170,25000,NA
Daily,2018,40000,140,30000,NA
Sprinter,2018,70000,140,31000,NA
Transit,2018,40000,170,25000,NA
Maxity,2012,160000,136,16000,NA
Daily,2017,90000,146,23000,NA
Master,2015,40000,125,21000,NA
Daily,2018,50000,140,30000,NA
Boxer,2018,40000,130,20000,NA
Daily,2016,50000,130,29000,NA
Daily,2018,50000,136,27000,JPM
Master,2010,150000,125,17000,NA
Daily,2019,40000,140,33000,JPM
Daily,2008,280000,116,8000,NA
Maxity,2015,90000,136,17000,NA
Maxity,2014,140000,140,18000,NA
Daily,2000,170000,110,9000,NA
Sprinter,2011,120000,130,18000,NA
Boxer,2018,30000,130,23000,NA
Daily,2013,110000,130,18000,NA
Transit,2002,70000,75,9000,NA
Master,2016,140000,135,18000,NA
Master,2016,120000,130,18000,NA
Daily,2018,60000,140,29000,JPM
Daily,2018,40000,140,29000,JPM
Daily,2021,0,150,37000,JPM
Jumper,2016,30000,130,23000,NA
Master,2015,120000,125,18000,NA
Daily,2012,150000,130,17000,NA
Daily,2017,100000,140,14000,NA
Sprinter,2015,240000,130,10000,NA
Daily,2018,40000,140,32000,NA
Jumper,2016,10000,130,21000,NA
Boxer,2009,140000,120,11000,NA
Daily,2019,40000,140,28000,NA
Ducato,2016,120000,130,17000,NA
Ducato,2017,30000,130,23000,NA
Daily,2009,250000,122,10000,NA
Daily,2014,110000,130,19000,JPM
Daily,2008,270000,150,10000,NA
Jumper,2010,210000,120,10000,NA
Jumper,2014,40000,110,20000,NA
Cabstar,2010,150000,110,15000,NA
Cabstar,2009,190000,110,17000,NA
Maxity,2008,120000,130,9000,NA
Sprinter,2021,0,163,44000,NA
Sprinter,2021,0,143,42000,NA
Daily,2018,40000,140,28000,JPM
Master,2006,150000,120,6000,NA
Jumper,2018,50000,130,23000,NA
Jumper,2018,20000,130,24000,NA
Transit,2013,50000,125,16000,NA
Ducato,2016,70000,130,19000,NA
Jumper,2017,40000,163,17000,NA
Jumper,2018,20000,130,24000,NA
Jumper,2015,50000,110,19000,NA
Transit,2005,110000,115,9000,NA
Daily,2011,170000,150,17000,JPM
Daily,2017,70000,140,30000,JPM
Master,2018,80000,130,22000,NA
Cabstar,2008,200000,110,10000,NA
Master,2016,70000,125,10000,NA
Master,2013,140000,100,18000,NA
Cabstar,2005,210000,130,4000,NA
Transit,2008,210000,115,8000,NA
Boxer,2015,120000,136,15000,NA
Daily,2011,150000,130,16000,NA
Daily,2018,50000,136,32000,NA
Daily,2010,100000,150,16000,NA
Transit,2012,100000,155,18000,NA
Transit,2013,140000,155,15000,NA
Daily,2007,200000,126,14000,NA
Daily,2013,190000,93,16000,NA
Maxity,2012,180000,140,13000,NA
Sprinter,2018,30000,163,36000,JPM
Daily,2007,210000,97,9000,NA
Cabstar,2008,210000,130,6000,NA
Daily,2018,30000,136,29000,JPM
Daily,2016,70000,130,25000,NA
Daily,2017,70000,150,29000,NA
Master,2016,30000,125,24000,NA
Master,2010,150000,100,14000,NA
Transit,2017,60000,130,24000,NA
Sprinter,2011,120000,130,17000,NA
Daily,2006,170000,120,14000,NA
Master,2013,70000,125,17000,NA
Master,2020,10000,145,29000,NA
Master,2007,150000,125,10000,NA
Daily,2009,140000,150,13000,NA
Maxity,2010,150000,130,10000,NA
Transit,2018,30000,170,25000,NA
Transit,2011,100000,115,13000,NA
Transit,2007,120000,115,12000,NA
Master,2015,120000,165,23000,NA
Jumper,2018,40000,130,22000,NA
Master,2015,80000,135,26000,NA
Maxity,2013,110000,140,17000,NA
Jumper,2018,20000,130,23000,NA
Boxer,2018,20000,130,24000,NA
Boxer,2018,30000,130,24000,NA
Daily,2016,60000,130,27000,JPM
Transit,2018,20000,170,24000,NA
Master,2015,120000,125,17000,NA
Canter,2015,50000,150,18000,NA
Canter,2015,60000,150,17000,NA
Master,2018,60000,165,30000,NA
Transit,2018,20000,170,25000,NA
Master,2012,200000,125,14000,NA
Daily,2012,120000,110,14000,NA
Daily,2010,280000,130,9000,NA
Transit,2018,40000,170,25000,NA
Daily,2006,190000,120,8000,NA
Daily,2019,10000,140,30000,JPM
Master,2011,180000,110,8000,NA
Master,2014,150000,165,20000,Stiram
Daily,2009,140000,85,14000,NA
Boxer,2018,30000,130,24000,NA
Boxer,2018,20000,130,25000,NA
Master,2015,50000,110,18000,NA
Master,2016,100000,165,24000,NA
Daily,2002,220000,110,3000,NA
Master,2016,40000,125,33000,NA
Daily,2016,100000,150,23000,NA
Daily,2018,60000,140,29000,JPM
Daily,2018,60000,140,29000,JPM
Daily,2019,20000,140,33000,JPM
Daily,2017,100000,180,31000,NA
Daily,2018,50000,140,32000,JPM
Jumper,2017,50000,130,21000,NA
Maxity,2012,180000,140,13000,NA
Daily,2017,50000,150,26000,NA
Daily,2017,70000,150,28000,NA
Master,2010,150000,125,15000,NA