Departement,latitude,longitude,Nombre annonces
1,46.2051520382,5.24602125501,18
2,49.5679724897,3.62089561902,7
3,46.5624641056,3.32662040221,1
4,44.0908723554,6.23590323452,4
5,44.5798600596,6.06486052138,0
6,43.7119992661,7.23826889465,11
7,44.7225391147,4.59449538667,9
8,49.7752965803,4.71724655966,4
9,42.9658502274,1.61037495894,2
10,48.2967099637,4.07827967525,5
11,43.2093798444,2.34398855385,4
12,44.3582426254,2.5672793892,8
13,43.2999009436,5.38227869795,23
14,49.1847936737,0.369801713036,19
15,44.9245233686,2.44162453828,3
16,45.6472585146,0.14514490683,8
17,46.1620643972,-1.17465702836,11
18,47.0749572013,2.40417137557,10
19,45.2731516999,1.76313875655,1
20,42.6864768806,9.42502133338,2
21,47.3229437965,5.03788805877,11
22,48.5149806053,-2.76154552773,16
23,46.1632121428,1.87078672735,1
24,45.1918704873,0.711825549847,5
25,47.2553872249,6.01948696494,9
26,44.9229811667,4.91444013136,19
27,49.02015421,1.14164412464,12
28,48.4471464884,1.50570610616,15
29,47.9971425162,-4.09111944455,7
30,43.844938394,4.34806796996,9
31,43.5963814303,1.43167293364,25
32,43.6534300414,0.575190250459,9
33,44.8572445351,-0.57369678116,30
34,43.6134409138,3.86851657896,33
35,48.1119791219,-1.68186449144,19
36,46.8029617828,1.69399812001,0
37,47.3986382281,0.696526376417,10
38,45.1821215167,5.72133051752,21
39,46.6744796278,5.55733212947,3
40,43.899361404,-0.490722577455,1
41,47.5817013938,1.30625551583,12
42,45.4301235512,4.37913997076,15
43,45.0276366659,3.89535229067,4
44,47.2316356767,-1.54831008605,41
45,47.8828634214,1.91610357477,21
46,44.4507370916,1.44075837848,0
47,44.2028139104,0.625583928763,10
48,44.5294508592,3.48086881176,3
49,47.476837416,-0.556125995444,26
50,49.1099624249,-1.07755642702,7
51,48.9640892125,4.37883539725,18
52,48.0980144211,5.14070044621,0
53,48.0608565468,-0.766005687142,3
54,48.6901995499,6.17588254434,6
55,48.7642280465,5.16346492169,0
56,47.6597493766,-2.75714329498,18
57,49.1081133279,6.1955245421,13
58,46.9881194908,3.15689130958,0
59,50.6317183168,3.04783272312,30
60,49.4365523321,2.08616123661,16
61,48.4318193082,0.0915406916107,2
62,50.2898964997,2.76587316711,24
63,45.7856492991,3.11554542903,12
64,43.3200189773,-0.350337918181,12
65,43.2347859635,0.0660093937851,1
66,42.6965954131,2.89936953979,8
67,48.5712679849,7.76752679517,7
68,48.1099405789,7.38468690323,10
69,45.7699284397,4.82922464978,33
70,47.6320408648,6.1548458149,2
71,46.3205511756,4.81842529639,4
72,47.9885256718,0.200030493539,6
73,45.583182552,5.90903392417,8
74,45.8906432566,6.12551773598,4
75,48.8626304852,2.33629344655,4
76,49.4413460103,1.09256784278,8
77,48.5444723553,2.65795821917,19
78,48.8025669671,2.11789297191,22
79,46.328260242,-0.465353019369,9
80,49.9009532186,2.29007445539,5
81,43.9258213622,2.14686328555,5
82,44.0222594578,1.36408636501,1
83,43.1361589728,5.93239634249,14
84,43.9352448339,4.84071572505,14
85,46.6675261644,-1.4077954093,32
86,46.5839207726,0.359947653003,8
87,45.8542549589,1.2487579024,3
88,48.1631202656,6.47989286928,10
89,47.793488225,3.58168281761,3
90,42.9658502274,1.61037495894,0
91,48.6294831659,2.44008244492,20
92,48.8960701282,2.20671346353,3
93,48.907688244,2.43863982727,8
94,48.7837401836,2.45463530415,13
95,49.0513737853,2.09487928948,10