D̩partement,Modele,Annee,Km,Puissance,JPM,Garantie (mois),Prix (TTC)
91,1,2012,218540,143,0,0,11988
17,2,2014,165749,130,0,3,22700
1,2,2021,10,120,1,0,34788
51,3,2017,35954,130,0,3,25440
31,3,2018,20800,130,0,12,24900
13,2,2018,35600,140,0,0,28800
6,1,2016,26000,140,0,0,25900
23,1,2015,43000,136,0,0,24600
38,4,2016,50500,155,0,12,23040
44,2,2016,56950,130,1,12,28788
14,5,2015,105000,163,0,0,28880
62,2,2016,85555,110,0,6,22900
62,3,2017,33000,130,0,12,23900
62,3,2013,124529,125,0,6,15900
49,2,2017,30000,136,1,12,29340
33,2,2017,107000,130,0,0,23900
38,5,2014,117500,130,0,12,23400
77,6,2017,32000,140,0,0,21480
21,2,2018,30250,136,1,6,27600
64,3,2020,1000,145,0,0,33588
85,2,2014,143900,126,0,6,19188
86,5,2017,55500,143,1,6,28788
57,3,2017,20000,130,0,6,19990
66,4,2017,33000,170,0,6,25992
60,2,2018,46000,126,0,0,30708
51,4,2017,67692,170,0,0,24600
28,3,2017,17600,130,0,12,21990
29,4,2013,107000,125,0,3,14000
91,5,2017,65200,143,0,6,25188
91,5,2017,77000,143,0,6,25788
14,2,2011,117000,146,0,0,17900
68,2,2016,72500,126,1,0,26280
28,2,2018,33000,110,0,0,27000
70,5,2016,33000,143,0,6,24990
44,2,2018,59500,180,1,0,29500
1,8,2014,102000,130,0,0,16800
35,2,2018,36500,150,1,6,30588
38,3,2017,50900,130,0,0,22990
22,3,2014,184430,165,0,3,17988
22,3,2015,114970,165,0,3,22788
22,9,2018,30210,130,0,3,22188
22,3,2015,138374,135,0,3,20988
67,6,2009,60000,120,0,0,11990
34,2,2017,80500,136,0,0,24990
77,9,2013,106658,130,0,3,16990
62,6,2018,40000,130,1,6,24000
50,3,2014,132089,125,0,12,17520
49,5,2018,44000,163,1,6,33120
35,11,2018,20328,130,0,12,24990
13,8,2019,34000,130,1,12,30000
13,12,2018,64766,130,1,0,23388
84,3,2018,69700,130,0,0,28200
78,3,2016,132000,130,0,0,16500
37,2,2009,201000,126,0,0,12500
14,5,2015,105000,163,0,0,28880
63,3,2017,47630,130,0,0,22990
61,2,2017,56800,150,0,0,18000
84,2,2015,34700,93,0,0,24000
73,6,2017,65006,150,0,6,21576
1,12,2019,32000,130,0,0,28788
49,1,2020,6000,177,0,24,39480
33,9,2017,50700,131,0,0,14850
59,11,2012,66000,130,0,0,10999
95,3,2012,180000,125,0,0,14900
31,2,2016,101272,126,0,0,20000
66,6,2017,64100,130,0,3,20388
66,6,2017,51400,130,0,3,21108
26,12,2017,91000,130,1,12,22200
83,3,2012,260000,150,0,0,12500
49,2,2007,247000,120,0,0,9500
31,2,2008,196000,126,0,0,7600
59,5,2007,199840,110,0,0,8500
38,3,2017,50900,130,0,0,22990
32,2,2012,153000,130,0,0,17880
47,9,2018,24500,130,1,6,25080
27,3,2015,152044,125,0,0,15960
64,8,2007,124144,125,0,0,16800
50,11,2018,18400,130,0,12,24980
32,6,2017,43941,130,0,12,25200
31,2,2011,154000,150,0,0,14400
13,5,2001,171000,130,0,0,14400
77,2,2010,230000,126,0,0,12500
31,4,2015,160000,155,0,0,15000
57,6,2015,74000,130,0,0,16900
35,5,2010,169000,136,1,0,8280
12,6,2015,111200,130,0,0,19560
64,3,2005,119216,120,0,0,16200
8,6,2007,85000,160,0,0,10000
78,2,2010,161000,180,0,0,16000
31,5,2017,85000,143,0,0,24000
59,11,2011,45966,130,1,0,16500
92,5,2005,145267,82,0,0,6900
22,2,2010,137549,90,0,0,12500
28,6,2016,94000,150,0,0,18500
77,2,2017,32500,140,1,0,27360
17,14,2017,53700,140,1,3,22320
94,6,2016,35000,130,0,0,17850
29,5,2016,57200,130,0,0,27480
49,2,2016,100000,130,1,6,25080
64,2,2019,28000,150,1,0,32400
41,8,2014,80000,130,1,0,20160
80,6,2017,23400,130,0,6,21540
94,9,2017,30000,130,0,0,18850
56,5,2016,90000,130,0,0,22900
30,3,2017,78246,130,0,6,21300
91,14,2014,36000,140,0,0,17999
10,11,2014,87300,130,1,0,16800
13,9,2017,55800,130,0,0,14400
83,5,2018,90000,190,0,0,27000
21,2,2017,48953,140,0,0,27000
31,12,2016,70600,130,0,0,19000
12,3,2012,151000,145,0,0,16200
31,4,2017,71000,170,0,0,22500
33,4,2015,121000,155,0,0,14990
51,6,2017,67369,130,0,3,19992
86,2,2018,29860,136,1,12,29880
33,4,2015,60000,150,0,0,19500
59,2,2019,34000,210,1,0,40800
74,3,2008,125000,120,0,0,10000
56,3,2014,106300,165,0,0,17990
47,2,2015,88000,126,0,0,18000
47,2,2014,112000,126,0,0,17000
56,11,2006,205600,127,0,3,11990
18,2,2010,210000,126,0,0,9500
21,6,2016,94010,130,0,0,17760
34,3,2013,132000,150,0,0,17900
34,6,2016,59500,130,0,0,18900
57,11,2016,110250,130,0,0,18500
32,2,2013,207920,146,0,0,17520
45,9,2014,115292,130,0,3,17520
34,1,2008,232000,110,0,0,12000
49,2,2018,29300,136,1,12,32940
44,2,2015,94500,126,1,0,19990
56,12,2010,86000,120,0,0,11500
92,4,2013,41570,150,0,0,12960
63,2,2005,165000,120,0,0,11398
31,2,2016,66500,146,0,3,25000
81,2,2017,70330,146,0,0,26880
7,2,2019,47000,136,0,0,28800
17,6,2017,65398,130,1,3,21588
14,5,2016,50000,136,1,0,27000
27,2,2006,180000,110,0,0,8500
51,2,2011,72000,130,1,0,15490
44,2,2015,100390,150,1,6,26988
16,4,2004,256500,90,0,0,6000
83,11,2014,150000,110,0,3,14500
22,9,2013,64048,130,0,3,16788
77,9,2013,93208,130,0,3,16990
39,3,2012,18300,125,0,0,12900
69,2,2009,259000,120,0,0,6600
80,2,2018,56172,140,1,0,32080
1,3,2015,141396,165,0,3,19800
1,3,2016,37602,165,0,3,27000
1,3,2015,123347,165,0,3,21600
79,2,2007,290000,150,0,0,8500
86,4,2013,190000,125,0,0,5490
79,12,2003,145000,120,0,0,6500
57,11,2015,33600,130,0,0,17990
45,3,2015,95223,165,0,0,22320
34,2,2018,41525,136,0,12,30000
6,6,2016,65000,130,0,0,16500
93,12,2008,217000,130,0,0,6500
38,6,2016,87700,150,0,3,17880
59,2,2000,250000,115,0,0,6500
34,6,2017,73700,130,0,0,19300
34,6,2017,61270,130,0,0,18900
35,2,2018,37500,136,0,3,29400
27,2,2017,82000,150,0,0,26280
18,3,2011,124200,150,0,0,17500
35,11,2018,26469,130,0,6,22990
56,3,2017,60925,130,0,3,23990
88,14,2011,173725,130,0,0,13800
45,5,2017,69800,143,0,12,32280
34,2,2003,300000,90,0,0,5500
54,3,2012,136000,150,0,0,13000
70,2,2012,190000,126,0,3,11500
34,2,2001,183000,105,0,0,7500
13,3,2005,186000,120,0,0,5000
32,2,2012,155463,126,0,3,17999
14,5,2005,250000,156,0,0,9000
32,2,2014,125954,126,0,6,18960
32,2,2012,137025,126,0,3,18360
8,3,2016,108952,130,0,0,18500
18,2,2020,1,140,1,0,37872
66,12,2005,122317,105,0,0,7500
17,6,2020,10,140,0,0,21490
41,2,2011,70000,130,1,3,20160
61,5,2019,35520,143,0,12,35520
25,12,2020,10,130,1,60,32400
13,12,2006,132000,130,0,0,12300
59,2,2000,220000,90,0,0,5500
37,4,2011,132000,115,1,0,11400
69,2,2002,265000,110,0,0,5700
88,11,2014,68700,110,0,0,12800
14,5,2016,55000,136,0,0,26400
62,12,2017,102500,130,0,0,20388
6,3,2021,10,145,1,3,34750
76,3,2020,120,130,1,12,33900
88,11,2018,25346,130,0,0,22500
49,2,2019,19600,140,1,0,32040
62,3,2016,32527,125,0,12,28428
60,3,2021,10,145,0,0,35400
15,3,2012,215300,150,0,0,11760
77,5,2016,86000,140,1,12,23990
78,3,2003,99000,90,0,0,7000
35,2,2011,170000,126,0,0,7900
13,2,2008,144000,126,0,0,13530
51,6,2016,55500,130,0,3,19188
95,6,2014,141000,130,0,0,14800
51,3,2017,43810,130,0,0,25440
69,2,2018,27800,136,0,6,29880
69,3,2017,107000,130,1,6,22440
69,3,2017,32000,130,0,6,26280
69,6,2015,72000,130,0,6,20280
57,5,2008,141000,130,0,0,3500
45,2,2012,99709,126,0,0,21990
91,5,2017,65500,143,0,6,23388
45,2,2013,122853,126,0,0,16990
45,2,2013,153801,126,0,0,19990
13,12,2018,64766,130,1,24,23388
42,8,2019,36000,130,1,12,30000
64,4,2008,109916,140,0,0,16800
35,2,2018,53100,136,0,3,30000
35,6,2021,900,140,0,24,28668
24,2,2013,147000,130,0,0,20280
82,3,2004,194200,120,0,3,12500
44,2,2018,28828,140,1,12,31140
72,11,2015,103000,130,0,3,18600
78,2,2007,97650,116,0,0,8999
51,3,2017,16000,130,0,0,26388
51,3,2017,40000,130,0,0,22788
94,2,2021,22,180,1,0,39680
94,6,2021,220,140,1,0,29690
94,6,2016,34000,130,0,0,19850
94,11,2020,20,140,1,0,29600
94,2,2020,20,160,1,0,39490
69,3,2008,129000,140,0,3,9990
88,11,2014,68200,110,0,0,12800
12,3,2018,35700,130,0,0,28788
62,2,2021,20,136,0,24,46428
7,2,2015,229000,210,0,0,21360
97,9,2013,49000,130,0,0,17900
71,9,2000,198200,89,0,0,4600
41,5,2012,91500,130,0,3,21360
60,3,2008,99700,120,0,0,7990
86,2,2015,143300,146,1,6,22680
29,3,2012,146560,125,0,0,11900
78,4,2007,59597,100,0,3,9490
17,4,2019,8000,130,0,1,31990
97,3,2018,7000,130,0,12,29900
35,4,2018,37624,170,0,6,23990
49,3,2015,67589,125,0,6,20940
62,9,2015,236000,180,0,0,11800
28,4,2017,40202,130,0,0,20490
38,6,2017,31900,130,0,3,23400
41,6,2017,38500,130,1,0,21000
68,3,2003,132000,80,0,0,6490
6,2,2003,198500,120,0,0,9500
56,1,2020,150,177,1,24,39000
10,2,2013,202000,150,0,0,11880
48,2,2011,180000,210,1,0,18100
94,2,2004,99000,126,0,0,8500
42,2,2002,129000,130,0,0,7800
72,6,2020,10,140,0,24,27588
72,6,2017,62078,130,0,3,22788
51,6,2017,53509,130,0,0,22000
60,11,2013,150000,130,0,0,13000
16,12,2013,117200,100,0,0,14750
72,6,2021,10,140,0,24,32388
84,12,2012,56000,140,0,0,14400
68,2,2009,260000,160,0,0,10000
8,4,2013,101864,125,0,0,13000
81,5,2018,33000,143,0,0,15600
68,5,2000,264000,143,0,0,7950
69,2,2004,164003,126,0,0,6800
28,5,2002,191935,109,0,0,5000
73,3,1999,136091,100,0,0,2600
24,2,2018,42000,140,1,0,29400
42,3,2021,10,145,0,24,34068
51,3,2017,80000,130,0,0,22788
38,3,2020,10,145,1,24,34800
50,6,2017,36750,130,0,6,22500
17,3,2020,10,165,1,24,34680
49,3,2008,114000,130,0,3,14990
27,6,2007,95000,130,0,0,9000
31,2,2014,88409,130,1,6,21000
22,9,2018,21289,130,0,3,22788
18,3,2002,150000,90,0,0,6990
50,3,2016,137034,125,0,3,20520
26,3,2018,28012,130,0,0,22788
49,2,2012,145000,130,0,3,15500
84,2,2013,124200,126,0,0,16560
49,2,2019,29350,140,1,0,35400
15,3,2016,110337,165,0,0,23400
85,4,2018,38405,170,0,12,25188
28,2,2008,168000,170,0,12,4700
47,1,2020,10,177,1,24,39114
26,5,2006,165517,110,0,0,8500
35,3,2015,96200,135,0,0,21588
85,4,2018,32854,170,0,0,26280
49,2,2017,34200,140,1,0,32280
44,2,2016,62937,126,1,0,29388
51,5,2017,30885,120,0,0,30000
44,2,2016,87072,126,1,0,27588
62,6,2020,50,140,0,0,28200
62,6,2020,10,140,0,24,29880
68,3,2020,50,165,0,24,38400
83,2,2015,49000,110,0,0,22990
83,2,2015,45900,110,0,0,23490
22,9,2013,101310,130,0,3,16980
33,5,2010,138258,130,0,0,15300
8,11,2021,2,165,1,24,31500
13,1,2021,50,177,0,24,41040
79,2,1998,220000,110,0,0,3500
33,3,2021,10,145,1,24,34616
33,2,2021,450,160,1,24,39840
51,4,2017,38000,130,0,0,23508
44,2,2018,17661,140,1,12,33588
80,2,2017,59500,140,0,6,29400
27,2,2013,183000,146,0,0,15500
13,6,2017,99059,130,1,0,18600
41,5,2014,155000,130,0,3,19800
31,4,2015,120475,125,1,6,18600
62,6,2017,36920,130,1,12,21790
2,3,2020,10,165,0,24,32280
69,3,2016,41446,125,0,6,23940
69,3,2016,64817,130,0,6,22140
28,1,2020,10,177,1,60,38412
51,4,2018,54071,130,0,0,26388
49,2,2018,24500,140,1,6,31440
62,2,2016,90885,106,0,0,21990
67,5,2001,96252,130,0,0,11160
59,2,2004,147600,116,0,0,2600
78,2,2009,136000,120,0,0,15000
69,2,2007,140000,120,0,0,8000
26,2,2014,118000,170,0,0,25000
69,2,2018,82000,140,0,6,26280
7,2,2018,54300,140,0,0,27000
20,2,2008,190000,120,0,0,13800
25,2,2008,142500,115,1,0,14000
60,8,2007,118040,150,0,0,13900
7,2,2004,195000,130,0,0,7500
6,2,2008,80000,150,0,0,9300
91,4,2020,10,130,1,24,28788
91,6,2021,10,140,1,24,29988
97,9,2009,90263,120,0,0,14500
26,5,2008,196000,110,0,0,10500
68,5,2018,69067,143,0,12,31080
64,3,2019,81,130,0,0,31560
69,1,2007,170000,130,0,0,13000
20,2,1990,130000,100,0,0,6500
59,3,2020,100,163,0,24,35388
95,6,2018,31569,130,0,6,20900
34,4,2017,52800,130,0,0,23988
76,2,2008,109000,120,0,0,11400
44,6,2020,10,140,0,24,29880
34,3,2021,10,145,1,24,33000
77,2,2010,204000,120,0,0,15000
6,12,2015,50400,122,0,0,21990
44,6,2017,59155,130,1,0,23940
78,2,2018,26175,140,1,0,28680
64,2,2018,26500,140,0,0,25500
78,2,2019,23248,140,1,0,30360
37,2,2020,259,160,1,12,39000
78,5,2018,69672,160,1,0,31080
67,3,2013,230000,125,0,0,13850
54,8,2020,10,150,0,0,34800
91,3,2015,122000,125,0,0,17900
62,2,2018,50932,140,1,12,26990
33,14,2009,153330,130,0,3,12000
94,9,2004,236500,101,0,0,4000
84,11,2009,100243,120,0,0,11000
33,2,2018,29100,150,0,6,31080
13,2,2014,115000,150,0,0,21000
63,2,2018,21148,140,0,0,27480
59,2,2014,76496,110,0,6,17490
13,5,2015,68824,129,0,6,24990
16,2,2016,72661,126,1,0,26988
45,2,2003,202000,150,0,0,12000
11,5,2017,32500,150,1,12,31200
56,3,2017,29735,130,0,6,23990
56,3,2017,48276,130,0,6,22990
32,2,2016,84243,130,0,3,25500
35,2,2015,286000,170,0,0,18000
51,6,2017,27900,130,0,0,19600
94,5,2014,96000,150,0,0,22590
2,4,2012,166000,100,0,0,10490
54,2,2009,160000,116,0,0,12500
21,8,2019,26700,150,0,0,27000
59,5,2017,86744,130,0,0,23000
85,2,2018,47759,150,0,6,34680
32,4,2008,115481,100,0,0,20388
12,2,2014,55000,110,0,0,10500
59,3,2016,60000,125,0,6,23388
18,3,2015,214000,136,0,0,17500
77,12,2010,132000,131,0,0,9990
22,4,2018,48425,170,0,6,23980
49,2,2016,135000,130,1,3,23500
34,9,2011,102000,120,0,0,12500
14,2,2010,133700,150,1,0,16680
84,4,2015,50000,114,0,0,21600
42,2,2012,234712,130,0,0,11450
85,2,2001,200000,85,0,6,8990
59,14,2012,81250,140,0,0,15200
78,2,2014,90000,110,0,0,21000
13,5,2015,41118,129,1,6,23400
25,2,2008,142500,116,1,0,14000
78,12,2001,150000,110,0,0,5600
26,3,2017,90000,130,1,3,22560
89,12,2011,149500,110,0,0,9250
4,5,2020,1,143,0,24,37900
1,6,2020,10,140,0,6,27000
44,5,2010,160000,129,0,0,9990
35,6,2017,26000,130,0,0,22788
81,4,2020,150,130,0,60,35880
59,6,2021,100,160,0,0,31188
21,6,2021,600,160,1,24,29988
31,4,2017,70000,170,0,0,22000
59,8,2008,112000,130,0,0,12900
30,2,2007,175000,150,0,0,14200
76,2,2005,200000,116,0,0,4300
24,4,2013,100000,155,0,0,15000
67,2,2007,233000,150,0,0,9900
64,14,2008,124800,110,0,0,12000
68,5,2000,264000,143,0,0,7550
42,4,2007,61592,115,1,0,16680
26,4,2016,80000,155,0,0,16890
44,14,2012,184000,140,0,0,13990
1,2,2017,115000,150,0,0,26988
94,9,2004,236500,101,0,0,3700
91,3,2015,122000,125,0,0,17500
49,2,2017,39000,136,1,6,29400
33,2,2009,204150,120,0,0,12000
69,5,2017,62000,160,0,6,28200
69,6,2017,73200,150,0,6,21480
69,3,2016,77800,125,0,6,23400
69,6,2015,84000,130,0,6,20280
63,2,2012,83249,170,0,3,19128
63,2,2008,181637,120,0,3,11398
1,2,2017,70000,140,0,0,28188
62,6,2017,86200,140,0,0,21948
57,11,2016,110250,130,0,0,17000
59,5,2021,300,143,0,24,35988
33,5,2008,232000,120,0,0,8200
44,2,2020,200,160,0,0,34900
57,5,2017,37200,143,0,12,34680
75,5,2006,202000,130,0,0,5500
65,3,2017,44000,130,1,12,25800
73,2,2010,83000,130,0,0,16800
24,14,2009,250000,130,0,0,8000
93,12,2005,110000,100,0,0,6790
60,3,2017,50119,130,0,6,26388
59,2,2015,63248,150,0,0,22699
69,6,2017,52144,150,0,6,21480
77,2,2001,200000,110,0,0,6500
60,3,2020,10,163,0,12,34788
12,12,2002,296601,130,0,0,4500
33,6,2020,10,140,0,18,31800
53,2,2016,90000,130,0,0,24300
78,2,2009,238000,150,0,0,9750
42,4,2018,50200,170,0,0,19990
89,4,2018,84000,130,0,0,20500
67,6,2003,160870,130,0,0,4200
60,3,2018,28800,130,0,6,29988
75,3,2014,162000,125,0,0,8512
43,4,2018,29144,170,0,6,27480
43,4,2018,34475,170,0,6,26280
44,2,2017,29310,140,1,12,30540
30,11,2010,96000,130,0,3,11990
35,2,2011,137730,130,1,3,19800
89,9,2015,32000,110,0,12,22990
59,2,2005,220000,130,0,3,11940
56,2,2016,63500,130,1,3,28680
44,2,2018,33751,120,1,12,29940
14,2,2007,162000,120,0,0,13200
27,3,2009,80000,130,0,0,9490
95,1,2012,180000,110,0,0,11500
68,2,2018,64000,140,1,0,31080
26,9,2005,70100,110,0,0,12000
11,2,2009,128000,150,0,0,10000
84,4,2017,61000,130,0,6,23880
81,2,2016,71800,116,0,6,19870
2,5,2000,236000,109,0,0,6500
44,3,2010,112000,100,0,3,12000
69,14,2013,121000,120,0,6,19080
34,14,2014,5580,130,0,0,21600
69,12,2008,167000,130,0,0,11500
7,2,2018,31000,140,0,0,27600
91,2,2014,122051,150,0,0,15000
45,2,2005,217000,120,0,0,6100
56,9,2014,59000,120,0,0,22000
45,5,2008,211000,180,0,0,9200
10,3,2018,24907,130,0,6,26900
10,3,2018,48202,130,0,6,25900
45,2,2013,98158,110,0,0,19990
27,2,2010,168000,130,0,0,18000
45,2,2013,127143,110,0,0,21990
45,2,2008,173903,120,0,0,18990
